FrameID,Uncompressed,Compressed_Mbytes,Compressed_Mbits_q=32
592,5.93,0.72,5.76
593,5.93,0.71,5.68
594,5.93,0.72,5.76
595,5.93,0.71,5.68
596,5.93,0.72,5.76
597,5.93,0.71,5.68
598,5.93,0.72,5.76
599,5.93,0.72,5.76
600,5.93,0.72,5.76
601,5.93,0.72,5.76
602,5.93,0.72,5.76
603,5.93,0.72,5.76
604,5.93,0.72,5.76
605,5.93,0.72,5.76
606,5.93,0.72,5.76
607,5.93,0.72,5.76
608,5.93,0.72,5.76
609,5.93,0.73,5.84
610,5.93,0.73,5.84
611,5.93,0.73,5.84
612,5.93,0.73,5.84
613,5.93,0.73,5.84
614,5.93,0.73,5.84
615,5.93,0.73,5.84
616,5.93,0.73,5.84
617,5.93,0.73,5.84
618,5.93,0.73,5.84
619,5.93,0.74,5.92
620,5.93,0.74,5.92
621,5.93,0.74,5.92
622,5.93,0.74,5.92
623,5.93,0.75,6.0
624,5.93,0.74,5.92
625,5.93,0.75,6.0
626,5.93,0.75,6.0
627,5.93,0.75,6.0
628,5.93,0.76,6.08
629,5.93,0.75,6.0
630,5.93,0.76,6.08
631,5.93,0.77,6.16
632,5.93,0.76,6.08
633,5.93,0.77,6.16
634,5.93,0.76,6.08
635,5.93,0.77,6.16
636,5.93,0.77,6.16
637,5.93,0.77,6.16
638,5.93,0.78,6.24
639,5.93,0.77,6.16
640,5.93,0.78,6.24
641,5.93,0.78,6.24
642,5.93,0.78,6.24
643,5.93,0.79,6.32
644,5.93,0.78,6.24
645,5.93,0.79,6.32
646,5.93,0.79,6.32
647,5.93,0.79,6.32
648,5.93,0.79,6.32
649,5.93,0.79,6.32
650,5.93,0.8,6.4
651,5.93,0.79,6.32
652,5.93,0.8,6.4
653,5.93,0.79,6.32
654,5.93,0.8,6.4
655,5.93,0.8,6.4
656,5.93,0.8,6.4
657,5.93,0.8,6.4
658,5.93,0.8,6.4
659,5.93,0.8,6.4
660,5.93,0.8,6.4
661,5.93,0.81,6.48
662,5.93,0.81,6.48
663,5.93,0.81,6.48
664,5.93,0.81,6.48
665,5.93,0.81,6.48
666,5.93,0.81,6.48
667,5.93,0.81,6.48
668,5.93,0.81,6.48
669,5.93,0.8,6.4
670,5.93,0.81,6.48
671,5.93,0.8,6.4
672,5.93,0.81,6.48
673,5.93,0.81,6.48
674,5.93,0.81,6.48
675,5.93,0.81,6.48
676,5.93,0.81,6.48
677,5.93,0.82,6.56
678,5.93,0.81,6.48
679,5.93,0.82,6.56
680,5.93,0.82,6.56
681,5.93,0.82,6.56
682,5.93,0.82,6.56
683,5.93,0.81,6.48
684,5.93,0.82,6.56
685,5.93,0.82,6.56
686,5.93,0.82,6.56
687,5.93,0.83,6.64
688,5.93,0.82,6.56
689,5.93,0.83,6.64
690,5.93,0.83,6.64
691,5.93,0.84,6.72
692,5.93,0.84,6.72
693,5.93,0.84,6.72
694,5.93,0.84,6.72
695,5.93,0.84,6.72
696,5.93,0.84,6.72
697,5.93,0.84,6.72
698,5.93,0.83,6.64
699,5.93,0.84,6.72
700,5.93,0.83,6.64
701,5.93,0.83,6.64
702,5.93,0.83,6.64
703,5.93,0.83,6.64
704,5.93,0.83,6.64
705,5.93,0.83,6.64
706,5.93,0.83,6.64
707,5.93,0.83,6.64
708,5.93,0.82,6.56
709,5.93,0.83,6.64
710,5.93,0.82,6.56
711,5.93,0.82,6.56
712,5.93,0.82,6.56
713,5.93,0.82,6.56
714,5.93,0.82,6.56
715,5.93,0.82,6.56
716,5.93,0.81,6.48
717,5.93,0.82,6.56
718,5.93,0.81,6.48
719,5.93,0.81,6.48
720,5.93,0.81,6.48
721,5.93,0.82,6.56
722,5.93,0.82,6.56
723,5.93,0.81,6.48
724,5.93,0.81,6.48
725,5.93,0.81,6.48
726,5.93,0.8,6.4
727,5.93,0.81,6.48
728,5.93,0.8,6.4
729,5.93,0.8,6.4
730,5.93,0.81,6.48
731,5.93,0.8,6.4
732,5.93,0.81,6.48
733,5.93,0.81,6.48
734,5.93,0.81,6.48
735,5.93,0.82,6.56
736,5.93,0.82,6.56
737,5.93,0.82,6.56
738,5.93,0.81,6.48
739,5.93,0.81,6.48
740,5.93,0.81,6.48
741,5.93,0.81,6.48
742,5.93,0.82,6.56
743,5.93,0.82,6.56
744,5.93,0.82,6.56
745,5.93,0.82,6.56
746,5.93,0.82,6.56
747,5.93,0.82,6.56
748,5.93,0.81,6.48
749,5.93,0.81,6.48
750,5.93,0.81,6.48
751,5.93,0.82,6.56
752,5.93,0.82,6.56
753,5.93,0.82,6.56
754,5.93,0.82,6.56
755,5.93,0.82,6.56
756,5.93,0.82,6.56
757,5.93,0.82,6.56
758,5.93,0.82,6.56
759,5.93,0.82,6.56
760,5.93,0.82,6.56
761,5.93,0.82,6.56
762,5.93,0.81,6.48
763,5.93,0.81,6.48
764,5.93,0.81,6.48
765,5.93,0.81,6.48
766,5.93,0.81,6.48
767,5.93,0.81,6.48
768,5.93,0.81,6.48
769,5.93,0.81,6.48
770,5.93,0.81,6.48
771,5.93,0.81,6.48
772,5.93,0.81,6.48
773,5.93,0.81,6.48
774,5.93,0.8,6.4
775,5.93,0.8,6.4
776,5.93,0.8,6.4
777,5.93,0.8,6.4
778,5.93,0.8,6.4
779,5.93,0.8,6.4
780,5.93,0.8,6.4
781,5.93,0.81,6.48
782,5.93,0.81,6.48
783,5.93,0.8,6.4
784,5.93,0.8,6.4
785,5.93,0.8,6.4
786,5.93,0.79,6.32
787,5.93,0.79,6.32
788,5.93,0.79,6.32
789,5.93,0.79,6.32
790,5.93,0.79,6.32
791,5.93,0.79,6.32
792,5.93,0.79,6.32
793,5.93,0.78,6.24
794,5.93,0.78,6.24
795,5.93,0.78,6.24
796,5.93,0.78,6.24
797,5.93,0.78,6.24
798,5.93,0.78,6.24
799,5.93,0.78,6.24
800,5.93,0.78,6.24
801,5.93,0.78,6.24
802,5.93,0.78,6.24
803,5.93,0.78,6.24
804,5.93,0.78,6.24
805,5.93,0.78,6.24
806,5.93,0.78,6.24
807,5.93,0.78,6.24
808,5.93,0.78,6.24
809,5.93,0.79,6.32
810,5.93,0.79,6.32
811,5.93,0.8,6.4
812,5.93,0.8,6.4
813,5.93,0.8,6.4
814,5.93,0.8,6.4
815,5.93,0.8,6.4
816,5.93,0.8,6.4
817,5.93,0.8,6.4
818,5.93,0.8,6.4
819,5.93,0.8,6.4
820,5.93,0.79,6.32
821,5.93,0.79,6.32
822,5.93,0.79,6.32
823,5.93,0.79,6.32
824,5.93,0.79,6.32
825,5.93,0.79,6.32
826,5.93,0.79,6.32
827,5.93,0.79,6.32
828,5.93,0.79,6.32
829,5.93,0.79,6.32
830,5.93,0.79,6.32
831,5.93,0.79,6.32
832,5.93,0.79,6.32
833,5.93,0.79,6.32
834,5.93,0.79,6.32
835,5.93,0.79,6.32
836,5.93,0.79,6.32
837,5.93,0.79,6.32
838,5.93,0.79,6.32
839,5.93,0.79,6.32
840,5.93,0.8,6.4
841,5.93,0.81,6.48
842,5.93,0.8,6.4
843,5.93,0.8,6.4
844,5.93,0.8,6.4
845,5.93,0.8,6.4
846,5.93,0.8,6.4
847,5.93,0.8,6.4
848,5.93,0.8,6.4
849,5.93,0.78,6.24
850,5.93,0.78,6.24
851,5.93,0.78,6.24
852,5.93,0.78,6.24
853,5.93,0.79,6.32
854,5.93,0.79,6.32
855,5.93,0.78,6.24
856,5.93,0.78,6.24
857,5.93,0.78,6.24
858,5.93,0.78,6.24
859,5.93,0.78,6.24
860,5.93,0.78,6.24
861,5.93,0.78,6.24
862,5.93,0.78,6.24
863,5.93,0.78,6.24
864,5.93,0.78,6.24
865,5.93,0.78,6.24
866,5.93,0.78,6.24
867,5.93,0.78,6.24
868,5.93,0.78,6.24
869,5.93,0.78,6.24
870,5.93,0.78,6.24
871,5.93,0.78,6.24
872,5.93,0.78,6.24
873,5.93,0.78,6.24
874,5.93,0.78,6.24
875,5.93,0.78,6.24
876,5.93,0.77,6.16
877,5.93,0.77,6.16
878,5.93,0.77,6.16
879,5.93,0.77,6.16
880,5.93,0.77,6.16
881,5.93,0.77,6.16
882,5.93,0.77,6.16
883,5.93,0.77,6.16
884,5.93,0.76,6.08
885,5.93,0.76,6.08
886,5.93,0.76,6.08
887,5.93,0.76,6.08
888,5.93,0.76,6.08
889,5.93,0.76,6.08
890,5.93,0.76,6.08
891,5.93,0.76,6.08
892,5.93,0.75,6.0
893,5.93,0.75,6.0
894,5.93,0.75,6.0
895,5.93,0.75,6.0
896,5.93,0.75,6.0
897,5.93,0.75,6.0
898,5.93,0.75,6.0
899,5.93,0.75,6.0
900,5.93,0.75,6.0
901,5.93,0.75,6.0
902,5.93,0.76,6.08
903,5.93,0.76,6.08
904,5.93,0.75,6.0
905,5.93,0.75,6.0
906,5.93,0.75,6.0
907,5.93,0.75,6.0
908,5.93,0.75,6.0
909,5.93,0.75,6.0
910,5.93,0.75,6.0
911,5.93,0.75,6.0
912,5.93,0.75,6.0
913,5.93,0.74,5.92
914,5.93,0.75,6.0
915,5.93,0.74,5.92
916,5.93,0.74,5.92
917,5.93,0.74,5.92
918,5.93,0.74,5.92
919,5.93,0.74,5.92
920,5.93,0.74,5.92
921,5.93,0.74,5.92
922,5.93,0.73,5.84
